,team,record
0,Portland Trail Blazers,0.537
1,Phoenix Suns,0.28
2,Dallas Mavericks,0.512
3,Los Angeles Clippers,0.646
4,Orlando Magic,0.427
5,New York Knicks,0.39
6,Cleveland Cavaliers,0.695
7,Utah Jazz,0.488
8,Golden State Warriors,0.89
9,Detroit Pistons,0.537
10,Washington Wizards,0.5
11,Sacramento Kings,0.402
12,Indiana Pacers,0.549
13,Toronto Raptors,0.683
14,Philadelphia 76ers,0.122
15,Brooklyn Nets,0.256
16,Chicago Bulls,0.512
17,Boston Celtics,0.585
18,New Orleans Pelicans,0.366
19,Charlotte Hornets,0.585
20,Los Angeles Lakers,0.207
21,Houston Rockets,0.5
22,Denver Nuggets,0.402
23,Minnesota Timberwolves,0.354
24,Miami Heat,0.585
25,Milwaukee Bucks,0.402
26,Atlanta Hawks,0.585
27,Oklahoma City Thunder,0.671
28,Memphis Grizzlies,0.512
29,San Antonio Spurs,0.817
